Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C117, C12, C13, C16, C17, C18, C26, C37, C4, C40, C42, C45, C5, C52, C54, C55, C56, C57, C58, C59, C62, C67, C69, C7, C70, C71, C72, C73, C8, C81, C90, C92, C98",0603,36,100n,
"C100, C102, C104, C106, C107",1206,5,C,
"C101, C103, C105, C99",1210,4,C,
"C108, C110",CP_Radial_D8.0mm_P3.50mm,2,100uF 63V,
"C109, C111",CP_Radial_D8.0mm_P3.50mm,2,220uF 35V,
"C112, C113, C114, C118, C119, C14, C15, C28, C29, C30, C31, C32, C33, C34, C35, C75, C77, C78, C82, C83",1206,20,10u,
"C115, C24, C3, C79",0603,4,4.7n,
"C116, C2, C25, C80",0603,4,47p,
"C120, C121, C36, C39, C41, C44, C51, C53, C63, C64, C65, C66, C68, C76, C86",0603,15,10u,
C19,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,47u,
"C20, C46",0603,2,0u1,
"C21, C22, C23, C47, C48, C49, C84, C85",CP_Radial_D6.3mm_P2.50mm,8,47u,
C27,0603,1,1u,
"C38, C43",0603,2,10n,
"C50, C6, C9",0603,3,20p,
"C60, C61, C97",0603,3,2.2u,
C74,0603,1,4.7u,
C87,0603,1,270p,
C88,0603,1,5.6p,
C89,0603,1,330p,
C91,0603,1,470n,
"C93, C94",0805,2,22u,
C95,0603,1,8.2p,
C96,0603,1,100nF,
D1,SOT-23,1,NUP2105L,
"D10, D8, D9",SOT-23,3,SM712,
"D11, D12, D22, D23, D24, D25, D26, D27, D28, D29, D30, D31, D32, D33, D6",0603,15,LED,
D13,D_SMC,1,SMCJ28A,
"D14, D3, D4, D5",D_PowerDI-5,4,ST20100L,
"D15, D19",D_SMA,2,SMAJ5.0A,
"D16, D17, D18",D_SMF,3,SMF3.3v,
D2,D_SMC,1,SMCJ51A,
D20,D_SMA,1,SMAJ7.5A,
D21,D_SMA,1,SMAJ12A,
D34,D_SMF,1,3V3 TVS,
"D35, D7",D_SMF,2,K34,
F1,Fuseholder_Littelfuse_Nano2_157x,1,Fuse,
F2,Fuse_Littelfuse-NANO2-451_453,1,Fuse,
F3,1210,1,1.2A,
J1,TF-SMD_TF-PUSH,1,Micro_SD_Card_Det1,
J10,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_01x02,
"J11, J12, J13, J14, J15, J16, J17, J18",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,8,Conn_01x02_MountingPin,
J19,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04_MountingPin,
"J2, J5",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,2,Conn_01x02,
J20,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04,
J21,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Conn_01x02,
J22,PinHeader_1x03_P2.54mm_Vertical,1,SBus,
J28,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,SWD,
"J3, J4",JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,Conn_01x04_MountingPin,
"J6, J7, J8, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,4,Conn_01x03,
"L1, L4, L5, L8",L_Sunlord_MWSA0603S,4,7.2u,
L2,0603,1,220r,
L3,L_Sunlord_MWSA0402S,1,4u7,
L6,L_Sunlord_MWSA0402S,1,10u,
L7,PQ2014_10uH,1,10u,
"Q1, Q2",TDSON-8-1,2,BSC070N10,
R1,0603,1,1M,
"R10, R14, R18, R2, R3, R36, R4, R40, R42, R48, R50, R55, R56, R59, R6, R61, R62, R64, R7, R70, R72, R74, R77, R78, R8, R83, R84, R87, R9",0603,29,10k,
"R11, R13, R15, R17, R19, R21, R52, R53",0603,8,4k7,
"R12, R16, R20, R5",0603,4,120R,
"R22, R26, R31, R32, R79, R80, R81, R82, R85, R86",0603,10,1k,
"R23, R58, R60",0603,3,330R,
"R24, R75",0603,2,100k,
"R25, R27, R28, R30",0603,4,4.7k,
"R29, R43",0603,2,33k,
"R33, R38, R45, R68",0603,4,243k,
"R34, R37, R44, R67",0603,4,16.9k,
"R35, R41",0603,2,47k,
"R39, R69",0603,2,53.6k,
R46,0603,1,3830R,
R47,0603,1,300k,
R49,0603,1,309k,
"R51, R76",0603,2,51k,
R54,0603,1,118k,
R57,0603,1,NC,
R63,0603,1,560R,
"R65, R66",0603,2,0R,
R71,0603,1,82.5k,
R73,0603,1,140k,
"RN10, RN11, RN12, RN13, RN14, RN15, RN16, RN17, RN18, RN4, RN5, RN6, RN7, RN8, RN9",R_Array_Concave_4x0603,15,82R,
SW1,Panasonic_EVQPUL_EVQPUC,1,NRST,
SW2,Panasonic_EVQPUL_EVQPUC,1,BOOT0,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
"U10, U11",SOT-23-5,2,RS3236,
U12,SOT-23-6,1,LMR51610,
"U13, U14, U15",SOIC-8_3.9x4.9mm_P1.27mm,3,SN75176AD,
U16,TQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,CH343P,
U17,SOT-23-5,1,RY3430,
U18,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,1,LM5145,
"U19, U7, U8, U9",Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,4,TPS54560BDDA,
U2,PQFN50P300X250X97-14N,1,ICM-42688-P,
U3,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042EMSE(TOKMAS),
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1042T-3,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN75179B,
U6,SOT-363_SC-70-6,1,TPD4E1U06DCKR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
